input,amount,currency,amount_normalized,timeframe,timeframe_normalized_days,purpose
I need $5000 by over the next 3 months to buy a vacation.,5000,USD,5000.0,over the next 3 months,90,vacation
I need ₹100000 by by the end of December to buy a rent.,100000,INR,100000.0,by the end of December,,rent
Save ₹1200 for groceries in 15 Oct 2025.,1200,INR,1200.0,15 Oct 2025,0,groceries
I'm aiming to save Rs. 10000 in Oct 15 2025 for deposit.,10000,INR,10000.0,Oct 15 2025,0,deposit
Can I save 100000 over the next within 2 weeks for phone?,100000,INR,100000.0,within 2 weeks,14,phone
Save 10000 for emergency fund in by the end of December.,10000,INR,10000.0,by the end of December,,emergency fund
Want to set aside 100000 for savings next by 15 Oct 2025.,100000,INR,100000.0,by 15 Oct 2025,,savings
Gotta save fifteen thousand for laptop ASAP.,15000,INR,15000.0,this summer,,laptop
Need Rs. 50000 for deposit by within 3 weeks.,50000,INR,50000.0,within 3 weeks,21,deposit
"Can I save 10,000 over the next 15 Oct 2025 for groceries?",10000,INR,10000.0,15 Oct 2025,0,groceries
"Want to set aside 1,200 for mobile next in 6 months.",1200,INR,1200.0,in 6 months,180,phone
Can I save 50k over the next 1 Jan 2026 for phone?,50000,INR,50000.0,1 Jan 2026,65,phone
I need Rs. 25000 by next year to buy a phone.,25000,INR,25000.0,next year,365,phone
Need twenty five thousand rupees for deposit by 1 Jan 2026.,25000,INR,25000.0,1 Jan 2026,65,deposit
Save Rs. 500 for car in by the end of December.,500,INR,500.0,by the end of December,,car
Planning to put 50k towards my vacation within 15 Oct 2025.,50000,INR,50000.0,15 Oct 2025,0,vacation
Save $50000 for tuition in 25-12-2025.,50000,USD,50000.0,25-12-2025,58,tuition
Save 50k for bike in in 10 days.,50000,INR,50000.0,in 10 days,10,bike
Can I save ten thousand over the next 15 Oct 2025 for trip?,10000,INR,10000.0,15 Oct 2025,0,trip
"Want to set aside 10,000 for vacation next by 15 Oct 2025.",10000,INR,10000.0,by 15 Oct 2025,,vacation
Gotta save ₹5000 for phone ASAP.,5000,INR,5000.0,within 2 weeks,14,phone
Want to set aside $1200 for wedding next 25-12-2025.,1200,USD,1200.0,25-12-2025,58,wedding
Want to set aside $100000 for emergency fund next July 2026.,100000,USD,100000.0,July 2026,246,emergency fund
Can I save $50000 over the next 1 Jan 2026 for bike?,50000,USD,50000.0,1 Jan 2026,65,bike
I'm aiming to save 25k in within 3 weeks for laptop.,25000,INR,25000.0,within 3 weeks,21,laptop
I'm aiming to save ten thousand in by the end of December for vacation.,10000,INR,10000.0,by the end of December,,vacation
Gotta save $5000 for trip ASAP.,5000,USD,5000.0,next year,365,trip
"Gotta save 10,000 for medical ASAP.",10000,INR,10000.0,over the next 3 months,90,medical
I'm aiming to save $50000 in this summer for trip.,50000,USD,50000.0,this summer,,trip
Save ₹100000 for groceries in in 10 days.,100000,INR,100000.0,in 10 days,10,groceries
Save 2500 for deposit in 1 Jan 2026.,2500,INR,2500.0,1 Jan 2026,65,deposit
Need 100000 for mobile by 15 Oct 2025.,100000,INR,100000.0,15 Oct 2025,0,phone
Save ₹2500 for phone in over the next 3 months.,2500,INR,2500.0,over the next 3 months,90,phone
I need 5k by July 2026 to buy a tuition.,5000,INR,5000.0,July 2026,246,tuition
Need $50000 for phone by July 2026.,50000,USD,50000.0,July 2026,246,phone
I need ₹100000 by over the next 3 months to buy a tuition.,100000,INR,100000.0,over the next 3 months,90,tuition
Need ₹100000 for emergency fund by 31 Dec 2025.,100000,INR,100000.0,31 Dec 2025,64,emergency fund
Save Rs. 1200 for vacation in by the end of December.,1200,INR,1200.0,by the end of December,,vacation
Planning to put ₹500 towards my mobile within over the next 3 months.,500,INR,500.0,over the next 3 months,90,phone
I need $25000 by in 5 months to buy a laptop.,25000,USD,25000.0,in 5 months,150,laptop
Want to set aside 5000 for savings next next year.,5000,INR,5000.0,next year,365,savings
Gotta save $5000 for bike ASAP.,5000,USD,5000.0,1 Jan 2026,65,bike
Gotta save 100000 for savings ASAP.,100000,INR,100000.0,in 6 months,180,savings
I need $10000 by ASAP to buy a medical.,10000,USD,10000.0,ASAP,7,medical
Planning to put 5000 towards my savings within by 15 Oct 2025.,5000,INR,5000.0,by 15 Oct 2025,,savings
"Planning to put 100,000 towards my medical within within 2 weeks.",100000,INR,100000.0,within 2 weeks,14,medical
Save Rs. 500 for wedding in this summer.,500,INR,500.0,this summer,,wedding
Planning to put 10k towards my laptop within 25-12-2025.,10000,INR,10000.0,25-12-2025,58,laptop
I need ₹500 by 1 Jan 2026 to buy a smartphone.,500,INR,500.0,1 Jan 2026,65,phone
Planning to put ₹1200 towards my emergency fund within 15 Oct 2025.,1200,INR,1200.0,15 Oct 2025,0,emergency fund
