input,amount,currency,amount_normalized,purpose_canonical,timeframe,target_compact
"Im aiming to save 1,50,000 in this summer for emergency fund.",150000,INR,150000.0,emergency_fund,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:this summer
"Save $2,000 for laptop in by New Year.",2000,USD,2000.0,laptop,by New Year,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:laptop;timeframe:by New Year
I need €3000 by this summer to buy a gaming rig.,3000,EUR,3000.0,gaming_pc,this summer,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:gaming_pc;timeframe:this summer
Want to set aside ₹150k for deposit next within 3 weeks.,150000,INR,150000.0,deposit,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:within 3 weeks
Can I save one hundred fifty thousand over the next within 3 weeks for phone,150000,INR,150000.0,phone,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:within 3 weeks
Can I save 1.5 lakh over the next by 15 Oct 2025 for medical,150000,INR,150000.0,medical,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:by 15 Oct 2025
Want to set aside 2000 USD for car next within 3 weeks.,2000,USD,2000.0,car,within 3 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:car;timeframe:within 3 weeks
"Gotta save ₹25,000 for mobile ASAP.",25000,INR,25000.0,phone,next year,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:phone;timeframe:next year
Planning to put 1.5 lakh towards my deposit within by next Christmas.,150000,INR,150000.0,deposit,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:by next Christmas
"Want to set aside 1,50,000 for phone next within 3 weeks.",150000,INR,150000.0,phone,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:within 3 weeks
Im aiming to save 150k in next year for bike.,150000,INR,150000.0,bike,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:next year
"Gotta save 1,50,000 for bike ASAP.",150000,INR,150000.0,bike,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:in 5 months
"Planning to put 1,50,000 towards my gift within by Diwali.",150000,INR,150000.0,gift,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:by Diwali
Want to set aside Rs. 10k for tuition next by New Year.,10000,INR,10000.0,tuition,by New Year,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:tuition;timeframe:by New Year
Need 150k dollars for travel by by Diwali.,150000,INR,150000.0,travel,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by Diwali
Gotta save fifteen thousand for travel ASAP.,15000,INR,15000.0,travel,before Eid,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:travel;timeframe:before Eid
Need 1.5 lakh for medical by within 3 weeks.,150000,INR,150000.0,medical,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:within 3 weeks
"Im aiming to save ₹25,000 in in 5 months for deposit.",25000,INR,25000.0,deposit,in 5 months,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:deposit;timeframe:in 5 months
Want to set aside $150k for trip next in 6 months.,150000,USD,150000.0,travel,in 6 months,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 6 months
Save £500 for gaming rig in this summer.,500,GBP,500.0,gaming_pc,this summer,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:gaming_pc;timeframe:this summer
Need ₹150k for tuition by by Diwali.,150000,INR,150000.0,tuition,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:by Diwali
"Want to set aside ₹25,000 for gaming pc next next year.",25000,INR,25000.0,gaming_pc,next year,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:gaming_pc;timeframe:next year
Planning to put £500 towards my mobile within within 2 weeks.,500,GBP,500.0,phone,within 2 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:phone;timeframe:within 2 weeks
Save 150k dollars for smartphone in before Eid.,150000,INR,150000.0,phone,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:before Eid
Planning to put $150k towards my smartphone within in 5 months.,150000,USD,150000.0,phone,in 5 months,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:phone;timeframe:in 5 months
Want to set aside 2000 USD for mobile next in 6 months.,2000,USD,2000.0,phone,in 6 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:phone;timeframe:in 6 months
Can I save 150k dollars over the next before Eid for deposit,150000,INR,150000.0,deposit,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:before Eid
I need fifteen thousand by before Eid to buy a bike.,15000,INR,15000.0,bike,before Eid,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:bike;timeframe:before Eid
Need Rs. 10k for trip by within 2 weeks.,10000,INR,10000.0,travel,within 2 weeks,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:within 2 weeks
"Need 1,50,000 for gaming pc by in 6 months.",150000,INR,150000.0,gaming_pc,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
Planning to put 1.5 lakh towards my pc within this summer.,150000,INR,150000.0,gaming_pc,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:this summer
Planning to put £500 towards my smartphone within by 15 Oct 2025.,500,GBP,500.0,phone,by 15 Oct 2025,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
Gotta save 150k for gaming rig ASAP.,150000,INR,150000.0,gaming_pc,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:this summer
"Want to set aside $2,000 for rent next within 3 weeks.",2000,USD,2000.0,rent,within 3 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:rent;timeframe:within 3 weeks
Need Rs. 10k for bike by next year.,10000,INR,10000.0,bike,next year,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:bike;timeframe:next year
"Im aiming to save 1,50,000 in in 6 months for groceries.",150000,INR,150000.0,groceries,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:in 6 months
I need one fifty thousand by in 5 months to buy a medical.,51000,INR,51000.0,medical,in 5 months,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:medical;timeframe:in 5 months
Want to set aside one fifty thousand for wedding next within 2 weeks.,51000,INR,51000.0,wedding,within 2 weeks,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:wedding;timeframe:within 2 weeks
"Gotta save $2,000 for rent ASAP.",2000,USD,2000.0,rent,before Eid,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:rent;timeframe:before Eid
Save 150k dollars for medical in within 2 weeks.,150000,INR,150000.0,medical,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:within 2 weeks
Gotta save one fifty thousand for travel ASAP.,51000,INR,51000.0,travel,this summer,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:travel;timeframe:this summer
Gotta save £500 for laptop ASAP.,500,GBP,500.0,laptop,before Eid,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:laptop;timeframe:before Eid
Can I save 1.5 lakh over the next before Eid for emergency fund,150000,INR,150000.0,emergency_fund,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:before Eid
"Im aiming to save ₹25,000 in next year for smartphone.",25000,INR,25000.0,phone,next year,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:phone;timeframe:next year
"Planning to put ₹25,000 towards my wedding within by next Christmas.",25000,INR,25000.0,wedding,by next Christmas,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:wedding;timeframe:by next Christmas
Planning to put 150k towards my mobile within next year.,150000,INR,150000.0,phone,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:next year
Save 150k for rent in next year.,150000,INR,150000.0,rent,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:next year
Can I save Rs. 10k over the next before Eid for trip,10000,INR,10000.0,travel,before Eid,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:before Eid
I need one fifty thousand by by Diwali to buy a gaming pc.,51000,INR,51000.0,gaming_pc,by Diwali,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:gaming_pc;timeframe:by Diwali
I need $150k by in 5 months to buy a gaming pc.,150000,USD,150000.0,gaming_pc,in 5 months,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 5 months
Save one fifty thousand for phone in by New Year.,51000,INR,51000.0,phone,by New Year,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:phone;timeframe:by New Year
Can I save £500 over the next by New Year for laptop,500,GBP,500.0,laptop,by New Year,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:laptop;timeframe:by New Year
Need one fifty thousand for medical by within 2 weeks.,51000,INR,51000.0,medical,within 2 weeks,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:medical;timeframe:within 2 weeks
Planning to put 1.5 lakh towards my wedding within this summer.,150000,INR,150000.0,wedding,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:this summer
"Im aiming to save ₹25,000 in this summer for rent.",25000,INR,25000.0,rent,this summer,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:rent;timeframe:this summer
"Can I save 1,50,000 over the next within 2 weeks for gaming pc",150000,INR,150000.0,gaming_pc,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:within 2 weeks
"Want to set aside $2,000 for car next by New Year.",2000,USD,2000.0,car,by New Year,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:car;timeframe:by New Year
Save ₹150k for deposit in in 5 months.,150000,INR,150000.0,deposit,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:in 5 months
Need one fifty thousand for gaming rig by this summer.,51000,INR,51000.0,gaming_pc,this summer,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:gaming_pc;timeframe:this summer
Gotta save 150k dollars for emergency fund ASAP.,150000,INR,150000.0,emergency_fund,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:in 5 months
Need ₹150k for wedding by in 6 months.,150000,INR,150000.0,wedding,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:in 6 months
Can I save €3000 over the next before Eid for smartphone,3000,EUR,3000.0,phone,before Eid,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:phone;timeframe:before Eid
"Save 1,50,000 for phone in by 15 Oct 2025.",150000,INR,150000.0,phone,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
"Need $2,000 for gaming rig by in 5 months.",2000,USD,2000.0,gaming_pc,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:in 5 months
Can I save €3000 over the next in 6 months for smartphone,3000,EUR,3000.0,phone,in 6 months,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:phone;timeframe:in 6 months
Planning to put one hundred fifty thousand towards my emergency fund within by 15 Oct 2025.,150000,INR,150000.0,emergency_fund,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:by 15 Oct 2025
